group,skill,details
communication,presentations,
communication,data analysis reports,"Rmarkdown, Jupyter"
communication,data visualization,ggplot2
communication,peer-reviewed publications,"journal, conference"
programming languages,R,
programming languages,Python,
programming languages,SQL,
programming languages,Matlab,
programming languages,C++,
programming languages,Stata,
software development,source control,Git
numerical methods,optimization,"stochastic, multi-start"
numerical methods,differential equations,
statistics,machine learning,
statistics,Bayesian inference,
statistics,data analysis,
statistics,time series models,
statistics,cross-validation,
statistics,uncertainty quantification,
